OBJECTID,name,lat,lon,wd_mon_mn,wd_mon_af,wd_mon_ev,wd_mon_nh,wd_tue_mn,wd_tue_af,wd_tue_ev,wd_tue_nh,wd_wed_mn,wd_wed_af,wd_wed_ev,wd_wed_nh,wd_thu_mn,wd_thu_af,wd_thu_ev,wd_thu_nh,wd_fri_mn,wd_fri_af,wd_fri_ev,wd_fri_nh,ss_sat_2h,ss_sat_4h,ss_sat_6h,ss_sat_8h,ss_sat_10h,ss_sat_12h,ss_sat_14h,ss_sat_16h,ss_sat_18h,ss_sat_20h,ss_sat_22h,ss_sat_24h,ss_sun_2h,ss_sun_4h,ss_sun_6h,ss_sun_8h,ss_sun_10h,ss_sun_12h,ss_sun_14h,ss_sun_16h,ss_sun_18h,ss_sun_20h,ss_sun_22h,ss_sun_24h,type,healthy
1525,Kopitiam Investment Pte Ltd,1.379920452,103.7643572,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,foodcourt,1
1526,food splash,1.296901696,103.8996929,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,1,2,2,2,2,2,2,2,1,foodcourt,1
1527,ENAK ENAK HONGKONG TEA HOUSE PTE. LTD.,1.305089876,103.9297273,0,5,6,6,0,5,6,6,0,5,6,6,0,5,6,6,0,5,6,6,2,2,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,foodcourt,1
1528,FOOD REPUBLIC,1.301069755,103.9052795,3,5,5.5,0,3,5,5.5,0,3,5,5.5,0,3,5,5.5,0,3,5,5.5,0,0,0,0,0,2,2,2,2,2,2,1.5,0,0,0,0,0,2,2,2,2,2,2,1.5,0,foodcourt,1
1529,BC food,1.331436231,103.9482603,0,0,0,0,1,5,6,0.5,1,5,6,0.5,1,5,6,0.5,1,5,6,0.5,0,0,0,0,0,2,2,2,2,2,2,0.5,0,0,0,0,0,2,2,2,2,2,2,0.5,foodcourt,1
1530,MY KAMPUNG,1.326712196,103.9320295,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,foodcourt,1
1531,Foodgle,1.331693318,103.7739072,3.5,5,4.5,0,3.5,5,4.516666667,0,3.5,5,4.533333333,0,3.5,5,4.55,0,3.5,5,4.566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1532,FOOD CANOPY,1.331693318,103.7739072,3.5,5,4,0,3.5,5,4.016666667,0,3.5,5,4.033333333,0,3.5,5,4.05,0,3.5,5,4.066666667,0,0,0,0,0.5,2,2,2,2,2,2,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1533,KOPITIAM INVESTMENT PTE LTD,1.339452717,103.706685,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,foodcourt,1
1534,MAKAN PLACE KOUFU,1.331693318,103.7739072,3.5,5,4.5,0,3.5,5,4.516666667,0,3.5,5,4.533333333,0,3.5,5,4.55,0,3.5,5,4.566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1535,Kopitiam Investment,1.339452717,103.706685,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,foodcourt,1
1536,FOODCLIQUE PTE LTD,1.32958493,103.776237,3.5,5,2.5,0,3.5,5,2.5,0,3.5,5,2.5,0,3.5,5,2.5,0,3.5,5,2.5,0,0,0,0,0.5,2,2,2,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1537,koufu,1.397301909,103.7465581,2.5,5,6,0,2.5,5,6,0,2.5,5,6,0,2.5,5,6,0,2.5,5,6,0,0,0,0,0,1.5,2,2,2,2,2,2,0,0,0,0,0,1.5,2,2,2,2,2,2,0,foodcourt,1
1538,KOUFU,1.355941712,103.741127,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,foodcourt,1
1539,Kopitiam Investment Pte Ltd,1.449050822,103.8200461,4,5,6,0.5,4,5,6,0.5,4,5,6,0.5,4,5,6,0.5,4,5,6,0.5,0,0,0,1,2,2,2,2,2,2,2,0.5,0,0,0,1,2,2,2,2,2,2,2,0.5,foodcourt,1
1540,Wak Min Food and Catering,1.43312284,103.841661,0,5,5.5,0,0,5,5.5,0,0,5,5.5,0,0,5,5.5,0,0,5,5.5,0,0,0,0,0,0,1,2,2,2,2,1.5,0,0,0,0,0,0,1,2,2,2,2,1.5,0,foodcourt,1
1541,Bedok Reservoir Road Blk 630,1.333159248,103.9140539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hawkercentre,1
1542,Bedok South Road Blk 16,1.320552165,103.9355391,3,5,4,0,3,5,4,0,3,5,4,0,3,5,4,0,3,5,4,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,0,0,hawkercentre,1
1543,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.319216998,103.8630214,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,2,2,2,1,0,hawkercentre,1
1544,Beo Crescent Market,1.288822102,103.827358,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,4,5,4,1,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,1.5,0,0,hawkercentre,1
1545,Berseh Food Centre,1.307336517,103.856854,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hawkercentre,1
1546,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.345223163,103.7127998,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hawkercentre,1
1547,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.306205841,103.850531,0,0,0,0,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,hawkercentre,1
1548,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.283692589,103.8169924,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1549,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.286297772,103.8044893,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,1,2,2,2,2,1,0,hawkercentre,1
1550,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.285504783,103.8220494,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,2,2,2,1,0,hawkercentre,1
1551,Bukit Panjang Hawker Centre,1.377600535,103.7724896,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,1,0,hawkercentre,1
1552,Bukit Timah Market,1.339375964,103.775995,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,1,2,2,2,2,2,2,2,1,hawkercentre,1
1553,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.316159914,103.8502251,4,5,6,2.5,4,5,6,2.5,4,5,6,2.5,4,5,6,2.5,4,5,6,2.5,0,0,0,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,1,hawkercentre,1
1554,Changi Village Blk 2 and 3,1.389151721,103.9882457,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hawkercentre,1
1555,Chomp Chomp Food Centre,1.364228523,103.8665361,4,1.5,0,3,4,1.5,0,3,4,1.5,0,3,4,1.5,0,3,4,1.5,0,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,hawkercentre,1
1556,Ci Yuan Hawker Centre,1.375428967,103.882978,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
