latitude,longitude,time,id
-6.1549938,106.8178437,2024-11-25 09:40:05.100000+07:00,loc_1340
-6.154899,106.8178234,2024-11-25 09:40:06.299000+07:00,loc_1352
-6.154793,106.8177997,2024-11-25 09:40:07.600000+07:00,loc_1365
-6.1546995,106.8177788,2024-11-25 09:40:08.700000+07:00,loc_1376
-6.1545932,106.8177561,2024-11-25 09:40:09.899000+07:00,loc_1388
-6.1544917,106.8177345,2024-11-25 09:40:11+07:00,loc_1399
-6.1543399,106.8176999,2024-11-25 09:40:12.600000+07:00,loc_1415
-6.1543971,106.8177133,2024-11-25 09:40:12+07:00,loc_1409
-6.1542931,106.8176887,2024-11-25 09:40:13.100000+07:00,loc_1420
-6.1541915,106.8176629,2024-11-25 09:40:14.200000+07:00,loc_1431
-6.1540927,106.8176391,2024-11-25 09:40:15.299000+07:00,loc_1442
-6.1539169,106.8175981,2024-11-25 09:40:17.399000+07:00,loc_1463
-6.1539988,106.8176184,2024-11-25 09:40:16.399000+07:00,loc_1453
-6.1538926,106.8175909,2024-11-25 09:40:17.700000+07:00,loc_1466
-6.1537922,106.8175613,2024-11-25 09:40:18.899000+07:00,loc_1478
-6.1536951,106.8175349,2024-11-25 09:40:20+07:00,loc_1489
-6.1535608,106.8174992,2024-11-25 09:40:21.500000+07:00,loc_1504
-6.1535961,106.8175087,2024-11-25 09:40:21.100000+07:00,loc_1500
-6.1534988,106.8174826,2024-11-25 09:40:22.200000+07:00,loc_1511
-6.1533933,106.8174557,2024-11-25 09:40:23.399000+07:00,loc_1523
-6.1532982,106.8174342,2024-11-25 09:40:24.500000+07:00,loc_1534
-6.1531467,106.8173992,2024-11-25 09:40:26.299000+07:00,loc_1552
-6.153196,106.8174104,2024-11-25 09:40:25.700000+07:00,loc_1546
-6.1530988,106.8173887,2024-11-25 09:40:26.899000+07:00,loc_1558
-6.1529994,106.8173699,2024-11-25 09:40:28.200000+07:00,loc_1571
-6.1528973,106.817351,2024-11-25 09:40:29.600000+07:00,loc_1585
-6.1527966,106.8173321,2024-11-25 09:40:31+07:00,loc_1599
-6.1526969,106.8173185,2024-11-25 09:40:32.299000+07:00,loc_1612
-6.1525782,106.8172998,2024-11-25 09:40:34+07:00,loc_1629
-6.1525967,106.8173031,2024-11-25 09:40:33.700000+07:00,loc_1626
-6.152494,106.8172839,2024-11-25 09:40:35.399000+07:00,loc_1643
-6.1523976,106.8172639,2024-11-25 09:40:36.799000+07:00,loc_1657
-6.1522952,106.817242,2024-11-25 09:40:38.100000+07:00,loc_1670
-6.1521115,106.8171985,2024-11-25 09:40:40.200000+07:00,loc_1691
-6.1521938,106.8172182,2024-11-25 09:40:39.299000+07:00,loc_1682
-6.1520926,106.8171938,2024-11-25 09:40:40.399000+07:00,loc_1693
-6.151995,106.8171693,2024-11-25 09:40:41.399000+07:00,loc_1703
-6.1518961,106.817145,2024-11-25 09:40:42.399000+07:00,loc_1713
-6.1517943,106.8171246,2024-11-25 09:40:43.399000+07:00,loc_1723
-6.1516698,106.817098,2024-11-25 09:40:44.600000+07:00,loc_1735
-6.1516904,106.8171026,2024-11-25 09:40:44.399000+07:00,loc_1733
-6.1515986,106.8170817,2024-11-25 09:40:45.299000+07:00,loc_1742
-6.1514995,106.8170583,2024-11-25 09:40:46.299000+07:00,loc_1752
-6.1513966,106.8170342,2024-11-25 09:40:47.399000+07:00,loc_1763
-6.1512594,106.8169989,2024-11-25 09:40:49+07:00,loc_1779
-6.1512926,106.8170081,2024-11-25 09:40:48.600000+07:00,loc_1775
-6.1511967,106.8169814,2024-11-25 09:40:49.799000+07:00,loc_1787
-6.1510977,106.816956,2024-11-25 09:40:51.200000+07:00,loc_1801
-6.1509954,106.8169357,2024-11-25 09:40:53+07:00,loc_1819
-6.1508995,106.8169213,2024-11-25 09:40:54.700000+07:00,loc_1836
-6.1507387,106.8168992,2024-11-25 09:40:57.299000+07:00,loc_1862
-6.1507984,106.8169085,2024-11-25 09:40:56.399000+07:00,loc_1853
-6.1506985,106.8168932,2024-11-25 09:40:57.899000+07:00,loc_1868
-6.1506,106.8168708,2024-11-25 09:40:59.899000+07:00,loc_1888
-6.1504009,106.8167992,2024-11-25 09:41:09.200000+07:00,loc_1981
-6.1504992,106.81684,2024-11-25 09:41:04.200000+07:00,loc_1931
-6.1503979,106.8167982,2024-11-25 09:41:09.299000+07:00,loc_1982
-6.1502976,106.8167622,2024-11-25 09:41:11.899000+07:00,loc_2008
-6.1501949,106.816736,2024-11-25 09:41:13.799000+07:00,loc_2027
-6.1500969,106.8167183,2024-11-25 09:41:15.200000+07:00,loc_2041
-6.149979,106.8167,2024-11-25 09:41:16.799000+07:00,loc_2057
-6.1499935,106.8167023,2024-11-25 09:41:16.600000+07:00,loc_2055
-6.1499007,106.8171766,2024-11-25 09:42:43.500000+07:00,loc_2924
-6.1499019,106.8172055,2024-11-25 09:42:43.899000+07:00,loc_2928
