latitude,longitude,time,id
-6.1600875,106.8177519,2024-11-25 09:38:08+07:00,loc_169
-6.1600879,106.8177518,2024-11-25 09:38:08.099000+07:00,loc_170
-6.1600884,106.8177517,2024-11-25 09:38:08.199000+07:00,loc_171
-6.1600891,106.8177517,2024-11-25 09:38:08.299000+07:00,loc_172
-6.160089,106.8177515,2024-11-25 09:38:08.398000+07:00,loc_173
-6.1600892,106.8177515,2024-11-25 09:38:08.498000+07:00,loc_174
-6.1600894,106.8177517,2024-11-25 09:38:08.599000+07:00,loc_175
-6.1600896,106.8177516,2024-11-25 09:38:08.699000+07:00,loc_176
-6.1600901,106.8177513,2024-11-25 09:38:08.799000+07:00,loc_177
-6.1600903,106.8177515,2024-11-25 09:38:08.898000+07:00,loc_178
-6.1600905,106.8177516,2024-11-25 09:38:09+07:00,loc_179
-6.1600906,106.8177519,2024-11-25 09:38:09.099000+07:00,loc_180
-6.1600905,106.8177519,2024-11-25 09:38:09.199000+07:00,loc_181
-6.1600915,106.8177516,2024-11-25 09:38:09.299000+07:00,loc_182
-6.1600919,106.8177512,2024-11-25 09:38:09.398000+07:00,loc_183
-6.1600917,106.817751,2024-11-25 09:38:09.498000+07:00,loc_184
-6.1600918,106.8177508,2024-11-25 09:38:09.599000+07:00,loc_185
-6.1600922,106.8177503,2024-11-25 09:38:09.699000+07:00,loc_186
-6.1600921,106.8177504,2024-11-25 09:38:09.799000+07:00,loc_187
-6.1600921,106.8177505,2024-11-25 09:38:09.898000+07:00,loc_188
-6.160092,106.8177505,2024-11-25 09:38:10+07:00,loc_189
-6.1600921,106.8177505,2024-11-25 09:38:10.099000+07:00,loc_190
-6.160092,106.8177505,2024-11-25 09:38:10.199000+07:00,loc_191
-6.160092,106.8177505,2024-11-25 09:38:10.299000+07:00,loc_192
-6.1600916,106.8177507,2024-11-25 09:38:10.398000+07:00,loc_193
-6.1600915,106.8177509,2024-11-25 09:38:10.498000+07:00,loc_194
-6.1600913,106.8177511,2024-11-25 09:38:10.599000+07:00,loc_195
-6.1600911,106.8177512,2024-11-25 09:38:10.699000+07:00,loc_196
-6.160091,106.8177515,2024-11-25 09:38:10.799000+07:00,loc_197
-6.160091,106.817752,2024-11-25 09:38:10.898000+07:00,loc_198
-6.160091,106.8177523,2024-11-25 09:38:11+07:00,loc_199
-6.1600904,106.8177526,2024-11-25 09:38:11.099000+07:00,loc_200
-6.1600905,106.8177526,2024-11-25 09:38:11.199000+07:00,loc_201
-6.1600908,106.8177526,2024-11-25 09:38:11.299000+07:00,loc_202
-6.1600907,106.8177527,2024-11-25 09:38:11.398000+07:00,loc_203
-6.160091,106.8177525,2024-11-25 09:38:11.498000+07:00,loc_204
-6.1600908,106.8177523,2024-11-25 09:38:11.599000+07:00,loc_205
-6.160091,106.8177523,2024-11-25 09:38:11.699000+07:00,loc_206
-6.1600912,106.8177521,2024-11-25 09:38:11.799000+07:00,loc_207
-6.1600911,106.817752,2024-11-25 09:38:11.898000+07:00,loc_208
-6.1600911,106.8177519,2024-11-25 09:38:12+07:00,loc_209
-6.160091,106.817752,2024-11-25 09:38:12.099000+07:00,loc_210
-6.1600908,106.8177519,2024-11-25 09:38:12.199000+07:00,loc_211
-6.1600911,106.8177521,2024-11-25 09:38:12.299000+07:00,loc_212
-6.1600912,106.8177524,2024-11-25 09:38:12.398000+07:00,loc_213
-6.160091,106.8177529,2024-11-25 09:38:12.498000+07:00,loc_214
-6.1600908,106.8177537,2024-11-25 09:38:12.599000+07:00,loc_215
-6.1600906,106.8177545,2024-11-25 09:38:12.699000+07:00,loc_216
-6.1600905,106.8177555,2024-11-25 09:38:12.799000+07:00,loc_217
-6.1600897,106.8177568,2024-11-25 09:38:12.898000+07:00,loc_218
-6.1600894,106.8177581,2024-11-25 09:38:13+07:00,loc_219
-6.1600892,106.8177596,2024-11-25 09:38:13.099000+07:00,loc_220
-6.1600884,106.8177613,2024-11-25 09:38:13.199000+07:00,loc_221
-6.1600886,106.8177629,2024-11-25 09:38:13.299000+07:00,loc_222
-6.1600883,106.8177646,2024-11-25 09:38:13.398000+07:00,loc_223
-6.160088,106.8177667,2024-11-25 09:38:13.498000+07:00,loc_224
-6.1600874,106.8177691,2024-11-25 09:38:13.599000+07:00,loc_225
-6.1600862,106.8177715,2024-11-25 09:38:13.699000+07:00,loc_226
-6.1600864,106.817774,2024-11-25 09:38:13.799000+07:00,loc_227
-6.1600854,106.8177768,2024-11-25 09:38:13.898000+07:00,loc_228
-6.1600842,106.8177801,2024-11-25 09:38:14+07:00,loc_229
-6.1600835,106.8177834,2024-11-25 09:38:14.099000+07:00,loc_230
-6.1600825,106.8177866,2024-11-25 09:38:14.199000+07:00,loc_231
-6.1600818,106.8177899,2024-11-25 09:38:14.299000+07:00,loc_232
-6.1600811,106.8177934,2024-11-25 09:38:14.398000+07:00,loc_233
-6.1600802,106.8177971,2024-11-25 09:38:14.498000+07:00,loc_234
-6.1600795,106.8178007,2024-11-25 09:38:14.599000+07:00,loc_235
-6.1600793,106.8178046,2024-11-25 09:38:14.699000+07:00,loc_236
-6.1600784,106.8178085,2024-11-25 09:38:14.799000+07:00,loc_237
-6.1600775,106.8178127,2024-11-25 09:38:14.898000+07:00,loc_238
-6.1600772,106.8178171,2024-11-25 09:38:15+07:00,loc_239
-6.1600762,106.8178215,2024-11-25 09:38:15.099000+07:00,loc_240
-6.1600756,106.817826,2024-11-25 09:38:15.199000+07:00,loc_241
-6.1600747,106.8178305,2024-11-25 09:38:15.299000+07:00,loc_242
-6.1600739,106.817835,2024-11-25 09:38:15.398000+07:00,loc_243
-6.1600732,106.8178398,2024-11-25 09:38:15.498000+07:00,loc_244
-6.1600723,106.8178448,2024-11-25 09:38:15.599000+07:00,loc_245
-6.1600714,106.8178498,2024-11-25 09:38:15.699000+07:00,loc_246
-6.1600706,106.8178549,2024-11-25 09:38:15.799000+07:00,loc_247
-6.1600697,106.8178603,2024-11-25 09:38:15.898000+07:00,loc_248
-6.1600686,106.8178656,2024-11-25 09:38:16+07:00,loc_249
-6.1600676,106.8178709,2024-11-25 09:38:16.099000+07:00,loc_250
-6.1600667,106.8178764,2024-11-25 09:38:16.199000+07:00,loc_251
-6.1600655,106.8178819,2024-11-25 09:38:16.299000+07:00,loc_252
-6.1600643,106.8178876,2024-11-25 09:38:16.398000+07:00,loc_253
-6.160063,106.8178932,2024-11-25 09:38:16.498000+07:00,loc_254
-6.1600616,106.8178992,2024-11-25 09:38:16.599000+07:00,loc_255
-6.1600604,106.817905,2024-11-25 09:38:16.699000+07:00,loc_256
-6.160059,106.8179113,2024-11-25 09:38:16.799000+07:00,loc_257
-6.1600573,106.8179169,2024-11-25 09:38:16.898000+07:00,loc_258
-6.1600561,106.817923,2024-11-25 09:38:17+07:00,loc_259
-6.1600549,106.8179295,2024-11-25 09:38:17.099000+07:00,loc_260
-6.1600529,106.8179353,2024-11-25 09:38:17.199000+07:00,loc_261
-6.1600517,106.8179416,2024-11-25 09:38:17.299000+07:00,loc_262
-6.1600504,106.817948,2024-11-25 09:38:17.398000+07:00,loc_263
-6.1600487,106.8179544,2024-11-25 09:38:17.498000+07:00,loc_264
-6.1600473,106.817961,2024-11-25 09:38:17.599000+07:00,loc_265
-6.1600458,106.8179674,2024-11-25 09:38:17.699000+07:00,loc_266
-6.1600441,106.8179737,2024-11-25 09:38:17.799000+07:00,loc_267
-6.1600428,106.8179804,2024-11-25 09:38:17.898000+07:00,loc_268
-6.1600413,106.8179871,2024-11-25 09:38:18+07:00,loc_269
-6.1600401,106.8179937,2024-11-25 09:38:18.099000+07:00,loc_270
-6.1600387,106.8180006,2024-11-25 09:38:18.199000+07:00,loc_271
-6.1600369,106.8180074,2024-11-25 09:38:18.299000+07:00,loc_272
-6.1600355,106.8180142,2024-11-25 09:38:18.398000+07:00,loc_273
-6.1600341,106.8180209,2024-11-25 09:38:18.498000+07:00,loc_274
-6.1600326,106.8180278,2024-11-25 09:38:18.599000+07:00,loc_275
-6.1600312,106.8180351,2024-11-25 09:38:18.699000+07:00,loc_276
-6.1600299,106.8180423,2024-11-25 09:38:18.799000+07:00,loc_277
-6.1600288,106.8180493,2024-11-25 09:38:18.898000+07:00,loc_278
-6.1600265,106.818056,2024-11-25 09:38:19+07:00,loc_279
-6.1600254,106.8180632,2024-11-25 09:38:19.099000+07:00,loc_280
-6.1600232,106.8180698,2024-11-25 09:38:19.199000+07:00,loc_281
-6.1600216,106.818077,2024-11-25 09:38:19.299000+07:00,loc_282
-6.160022,106.818084,2024-11-25 09:38:19.398000+07:00,loc_283
-6.1600215,106.8180909,2024-11-25 09:38:19.498000+07:00,loc_284
-6.1600202,106.8180982,2024-11-25 09:38:19.599000+07:00,loc_285
-6.1600183,106.8181055,2024-11-25 09:38:19.699000+07:00,loc_286
-6.1600165,106.8181126,2024-11-25 09:38:19.799000+07:00,loc_287
-6.1600153,106.8181199,2024-11-25 09:38:19.898000+07:00,loc_288
-6.1600138,106.8181266,2024-11-25 09:38:20+07:00,loc_289
-6.1600133,106.8181336,2024-11-25 09:38:20.099000+07:00,loc_290
-6.1600121,106.8181405,2024-11-25 09:38:20.199000+07:00,loc_291
-6.160011,106.8181471,2024-11-25 09:38:20.299000+07:00,loc_292
-6.1600102,106.818154,2024-11-25 09:38:20.398000+07:00,loc_293
-6.1600093,106.8181605,2024-11-25 09:38:20.498000+07:00,loc_294
-6.1600084,106.818167,2024-11-25 09:38:20.599000+07:00,loc_295
-6.1600077,106.8181729,2024-11-25 09:38:20.699000+07:00,loc_296
-6.1600066,106.8181789,2024-11-25 09:38:20.799000+07:00,loc_297
-6.1600054,106.8181846,2024-11-25 09:38:20.898000+07:00,loc_298
-6.160005,106.8181907,2024-11-25 09:38:21+07:00,loc_299
-6.160004,106.8181963,2024-11-25 09:38:21.099000+07:00,loc_300
-6.1600033,106.8182022,2024-11-25 09:38:21.199000+07:00,loc_301
-6.1600019,106.8182077,2024-11-25 09:38:21.299000+07:00,loc_302
-6.1600014,106.8182134,2024-11-25 09:38:21.398000+07:00,loc_303
-6.1600005,106.8182187,2024-11-25 09:38:21.498000+07:00,loc_304
-6.1600001,106.818224,2024-11-25 09:38:21.599000+07:00,loc_305
-6.1599987,106.8182291,2024-11-25 09:38:21.699000+07:00,loc_306
-6.1599975,106.8182345,2024-11-25 09:38:21.799000+07:00,loc_307
-6.1599972,106.8182396,2024-11-25 09:38:21.898000+07:00,loc_308
-6.159996,106.818245,2024-11-25 09:38:22+07:00,loc_309
-6.1599955,106.8182497,2024-11-25 09:38:22.099000+07:00,loc_310
-6.1599948,106.8182547,2024-11-25 09:38:22.199000+07:00,loc_311
-6.159994,106.8182597,2024-11-25 09:38:22.299000+07:00,loc_312
-6.159993,106.8182644,2024-11-25 09:38:22.398000+07:00,loc_313
-6.1599919,106.8182689,2024-11-25 09:38:22.498000+07:00,loc_314
-6.1599912,106.8182736,2024-11-25 09:38:22.599000+07:00,loc_315
-6.1599901,106.8182784,2024-11-25 09:38:22.699000+07:00,loc_316
-6.1599896,106.8182835,2024-11-25 09:38:22.799000+07:00,loc_317
-6.1599889,106.8182884,2024-11-25 09:38:22.898000+07:00,loc_318
-6.1599875,106.8182929,2024-11-25 09:38:23+07:00,loc_319
-6.1599863,106.818297,2024-11-25 09:38:23.099000+07:00,loc_320
-6.1599858,106.8183018,2024-11-25 09:38:23.199000+07:00,loc_321
-6.1599848,106.8183062,2024-11-25 09:38:23.299000+07:00,loc_322
-6.1599833,106.8183106,2024-11-25 09:38:23.398000+07:00,loc_323
-6.1599824,106.8183151,2024-11-25 09:38:23.498000+07:00,loc_324
-6.159981,106.8183196,2024-11-25 09:38:23.599000+07:00,loc_325
-6.1599794,106.818324,2024-11-25 09:38:23.699000+07:00,loc_326
-6.1599777,106.8183285,2024-11-25 09:38:23.799000+07:00,loc_327
