GRID_ID,color
MI-163,#C9D3FE
MJ-163,#BFBF00
MK-163,#BFBF00
GH-162,#BFBF00
GI-162,#BFBF00
GK-162,#BFBF00
GM-162,#A3FF73
KR-162,#C9D3FE
KS-162,#A3FF73
KT-162,#BFBF00
MI-162,#C9D3FE
MJ-162,#A3FF73
GG-161,#C9D3FE
GH-161,#BFBF00
GI-161,#A3FF73
GJ-161,#BFBF00
GL-161,#A3FF73
KS-161,#BFBF00
KT-161,#BFBF00
KU-161,#BFBF00
KV-161,#C9D3FE
LX-161,#C9D3FE
GH-160,#FF7F7F
GI-160,#BFBF00
GJ-160,#BFBF00
GK-160,#C9D3FE
GL-160,#A3FF73
GM-160,#A3FF73
KT-160,#C9D3FE
KU-160,#C9D3FE
KV-160,#BFBF00
LV-160,#BFBF00
LW-160,#BFBF00
LX-160,#A3FF73
LY-160,#BFBF00
LZ-160,#BFBF00
OR-160,#A3FF73
OS-160,#A3FF73
OT-160,#C9D3FE
GH-159,#C9D3FE
GI-159,#BFBF00
GJ-159,#A3FF73
GK-159,#A3FF73
KT-159,#C9D3FE
KU-159,#BFBF00
KV-159,#C9D3FE
KW-159,#BFBF00
KX-159,#BFBF00
LT-159,#FF7F7F
LV-159,#BFBF00
LW-159,#BFBF00
LX-159,#C9D3FE
LY-159,#C9D3FE
LZ-159,#A3FF73
OO-159,#A3FF73
OP-159,#A3FF73
OQ-159,#BFBF00
OR-159,#A3FF73
OS-159,#BFBF00
GI-158,#A3FF73
KR-158,#FF7F7F
KS-158,#FF7F7F
KT-158,#BFBF00
KU-158,#C9D3FE
KV-158,#BFBF00
KW-158,#BFBF00
KX-158,#C9D3FE
LS-158,#C9D3FE
LT-158,#C9D3FE
LU-158,#C9D3FE
LV-158,#A3FF73
LW-158,#BFBF00
LX-158,#C9D3FE
LY-158,#C9D3FE
OO-158,#A3FF73
OP-158,#A3FF73
OQ-158,#BFBF00
OR-158,#BFBF00
OS-158,#A3FF73
KR-157,#C9D3FE
KS-157,#BFBF00
KT-157,#BFBF00
KU-157,#BFBF00
KV-157,#C9D3FE
KW-157,#BFBF00
LT-157,#C9D3FE
LU-157,#C9D3FE
LV-157,#BFBF00
LW-157,#A3FF73
LX-157,#BFBF00
LY-157,#C9D3FE
LZ-157,#C9D3FE
OQ-157,#A3FF73
OR-157,#A3FF73
OS-157,#C9D3FE
KQ-156,#C9D3FE
KR-156,#FF7F7F
KS-156,#BFBF00
KT-156,#FF7F7F
KU-156,#C9D3FE
KV-156,#BFBF00
LS-156,#C9D3FE
LT-156,#C9D3FE
LU-156,#C9D3FE
LV-156,#C9D3FE
LW-156,#A3FF73
LX-156,#A3FF73
LY-156,#BFBF00
KQ-155,#C9D3FE
KR-155,#C9D3FE
KS-155,#BFBF00
KT-155,#C9D3FE
KU-155,#C9D3FE
KV-155,#BFBF00
KW-155,#C9D3FE
LS-155,#C9D3FE
LT-155,#C9D3FE
LU-155,#FF7F7F
LV-155,#BFBF00
LW-155,#BFBF00
LX-155,#C9D3FE
LY-155,#BFBF00
LZ-155,#A3FF73
MA-155,#A3FF73
KS-154,#C9D3FE
KT-154,#C9D3FE
KU-154,#C9D3FE
KV-154,#C9D3FE
KW-154,#A3FF73
LU-154,#FF7F7F
LW-154,#BFBF00
LX-154,#C9D3FE
LY-154,#BFBF00
LZ-154,#C9D3FE
MA-154,#A3FF73
NN-154,#C9D3FE
NP-154,#C9D3FE
NQ-154,#C9D3FE
NR-154,#BFBF00
NS-154,#C9D3FE
NT-154,#BFBF00
NV-154,#BFBF00
OB-154,#A3FF73
OC-154,#A3FF73
KU-153,#C9D3FE
KW-153,#C9D3FE
NL-153,#C9D3FE
NM-153,#C9D3FE
NN-153,#C9D3FE
NO-153,#C9D3FE
NP-153,#C9D3FE
NQ-153,#C9D3FE
NR-153,#C9D3FE
NS-153,#C9D3FE
NT-153,#BFBF00
NU-153,#C9D3FE
NV-153,#BFBF00
NW-153,#C9D3FE
NZ-153,#BFBF00
OA-153,#BFBF00
OB-153,#BFBF00
OC-153,#C9D3FE
OD-153,#BFBF00
NM-152,#C9D3FE
NN-152,#BFBF00
NO-152,#C9D3FE
NP-152,#C9D3FE
NQ-152,#C9D3FE
NS-152,#C9D3FE
NT-152,#FF7F7F
NU-152,#C9D3FE
NV-152,#BFBF00
NW-152,#FF7F7F
NX-152,#FF7F7F
NY-152,#C9D3FE
NZ-152,#BFBF00
OA-152,#BFBF00
OB-152,#BFBF00
OC-152,#BFBF00
OD-152,#BFBF00
OE-152,#C9D3FE
EH-151,#C9D3FE
EI-151,#C9D3FE
EJ-151,#FF7F7F
EL-151,#C9D3FE
KN-151,#C9D3FE
NN-151,#C9D3FE
NO-151,#C9D3FE
NP-151,#C9D3FE
NT-151,#C9D3FE
NU-151,#C9D3FE
NV-151,#BFBF00
NW-151,#C9D3FE
NX-151,#FF7F7F
NY-151,#BFBF00
NZ-151,#C9D3FE
OA-151,#BFBF00
OB-151,#A3FF73
OC-151,#C9D3FE
OD-151,#C9D3FE
EH-150,#C9D3FE
EI-150,#C9D3FE
EJ-150,#BFBF00
EK-150,#BFBF00
EL-150,#FF7F7F
EM-150,#BFBF00
JZ-150,#BFBF00
KA-150,#C9D3FE
KM-150,#C9D3FE
KN-150,#FF7F7F
KO-150,#C9D3FE
KP-150,#C9D3FE
NU-150,#C9D3FE
NV-150,#C9D3FE
NW-150,#FF7F7F
NX-150,#C9D3FE
NY-150,#BFBF00
NZ-150,#C9D3FE
OB-150,#BFBF00
OC-150,#A3FF73
OD-150,#A3FF73
OE-150,#A3FF73
OF-150,#A3FF73
EI-149,#C9D3FE
EJ-149,#FF7F7F
EK-149,#C9D3FE
EL-149,#BFBF00
EM-149,#FF7F7F
JZ-149,#BFBF00
KA-149,#BFBF00
KP-149,#C9D3FE
NQ-149,#C9D3FE
NR-149,#BFBF00
NT-149,#C9D3FE
NU-149,#C9D3FE
NV-149,#C9D3FE
NW-149,#FF7F7F
NX-149,#C9D3FE
NY-149,#BFBF00
NZ-149,#A3FF73
OA-149,#BFBF00
OB-149,#A3FF73
OC-149,#A3FF73
OD-149,#A3FF73
OE-149,#A3FF73
EI-148,#C9D3FE
EJ-148,#C9D3FE
EK-148,#C9D3FE
KA-148,#C9D3FE
NB-148,#C9D3FE
ND-148,#C9D3FE
